epoch,time_sec
1,375.92
2,345.0
3,402.03
4,381.14
5,399.26
6,401.94
7,397.2
8,404.62
9,404.54
10,388.17
11,387.04
12,379.2
13,408.3
14,395.65
15,400.91
16,404.64
17,402.23
18,403.59
19,401.29
20,401.81
21,391.71
22,395.34
23,405.43
24,405.56
25,400.07
26,376.25
27,381.89
28,404.78
29,406.57
30,400.64
31,401.52
32,404.48
33,408.48
34,380.65
35,398.54
36,402.4
37,404.41
38,403.57
39,374.18
40,397.17
41,402.84
42,390.15
43,360.86
44,317.64
45,403.58
46,389.43
47,389.11
48,398.3
49,381.74
50,392.98
51,396.7
52,392.73
53,312.59
54,406.05
55,403.86
56,404.23
57,399.88
58,404.23
59,402.21
60,406.18
61,402.15
62,404.67
63,400.14
64,393.28
65,400.11
66,398.24
67,391.22
68,402.33
69,402.23
70,398.84
71,401.85
72,397.56
73,401.93
74,402.57
75,402.13
76,396.1
77,400.07
78,397.19
79,391.72
80,400.78
81,376.76
82,395.08
83,400.98
84,405.08
85,391.58
86,396.15
87,375.52
88,395.08
89,398.89
90,398.96
91,404.63
92,404.76
93,394.65
94,403.16
95,396.57
96,398.99
97,404.75
98,401.9
99,395.49
100,390.89
