Epoch,Time(seconds)
1,494.7689
2,507.0627
3,516.1377
4,512.4413
5,511.0964
6,504.2713
7,503.8602
8,505.7913
9,511.9227
10,501.1983
11,507.0355
12,504.7841
13,507.9358
14,509.4787
15,506.0387
16,507.4591
17,505.3429
18,503.3385
19,510.8417
20,503.0913
21,502.8713
22,504.8902
23,504.7473
24,479.2774
25,507.1651
26,508.455
27,504.705
28,506.1734
29,500.6514
30,501.2137
31,505.4514
32,504.7123
33,508.28
34,508.4926
35,498.1239
36,502.9034
37,513.6408
38,495.5816
39,495.569
40,506.4461
41,508.3909
42,503.4127
43,506.7171
44,511.4993
45,507.905
46,510.7012
47,510.103
48,503.8265
49,505.4754
50,506.8939
51,508.5444
52,513.1765
53,514.0839
54,506.9086
55,512.0382
56,507.4186
57,503.0752
58,514.6332
59,516.2294
60,509.8417
61,514.0347
62,513.9233
63,509.1711
64,516.9723
65,505.0464
66,512.721
67,511.9093
68,511.0122
69,508.6226
70,511.6054
71,514.1573
72,490.3068
73,499.8597
74,505.7643
75,504.777
76,507.5325
77,510.5815
78,509.3108
79,510.6924
80,508.8067
81,508.9909
82,511.3349
83,505.7792
84,507.4347
85,507.7827
86,514.2296
87,516.0915
88,506.3789
89,507.1048
90,502.2917
91,505.8244
92,507.5506
93,513.2419
94,514.1595
95,509.8039
96,512.1102
97,515.093
98,514.4378
99,507.8658
100,510.2322
