Epoch,Time(seconds)
1,312.6099
2,306.7126
3,297.1386
4,305.6503
5,315.9794
6,314.7717
7,316.6284
8,315.4008
9,313.4236
10,316.3247
11,299.8312
12,284.5145
13,307.6903
14,310.68
15,313.0698
16,311.4511
17,314.3852
18,315.9736
19,313.4674
20,315.8225
21,316.2243
22,316.5958
23,313.1509
24,313.2544
25,295.2723
26,315.7173
27,312.8755
28,314.9699
29,308.0365
30,303.9889
31,309.3943
32,310.6905
33,309.0762
34,295.3706
35,310.3496
36,314.6857
37,315.6737
38,308.4785
39,310.5709
40,310.5269
41,305.726
42,306.9246
43,297.1885
44,312.0719
45,312.4436
46,311.3187
47,309.6021
48,311.5693
49,278.7031
50,309.2111
51,313.2847
52,314.2175
53,307.3263
54,303.6953
55,313.3027
56,308.2863
57,308.5246
58,311.4835
59,313.8827
60,305.2524
61,307.8793
62,310.5244
63,307.2402
64,314.8739
65,308.7696
66,306.1166
67,305.5504
68,306.8783
69,310.0498
70,309.064
71,281.7373
72,306.5927
73,310.1538
74,311.2037
75,310.1331
76,313.3351
77,306.5835
78,310.3659
79,313.6666
80,313.9698
81,308.6323
82,313.9548
83,293.4936
84,307.8106
85,312.5642
86,313.7963
87,312.6532
88,319.0204
89,312.6345
90,311.6242
91,316.1759
92,317.5512
93,308.5587
94,312.6927
95,310.9733
96,313.139
97,307.8969
98,309.0817
99,299.467
100,305.0895
