epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.622,2.18819,3.34511,2.64363,0.54554,0.21809,0.17283,0.0736,2.06434,2.96118,2.84255,0.067013,0.000333202,0.000333202
2,432.966,1.75236,2.61612,2.17433,0.69039,0.33733,0.37527,0.19319,1.71812,2.13954,2.36248,0.0340064,0.000659937,0.000659937
3,644.896,1.57582,2.21869,2.00509,0.74736,0.41529,0.50929,0.29455,1.42023,1.64969,2.06391,0.000993159,0.000980072,0.000980072
4,859.497,1.46418,1.98261,1.90538,0.60776,0.50323,0.58067,0.35248,1.29427,1.46556,1.91625,0.0009703,0.0009703,0.0009703
5,1071.51,1.39099,1.82262,1.84084,0.6785,0.56035,0.62284,0.3951,1.21111,1.24906,1.83332,0.0009604,0.0009604,0.0009604
6,1279.64,1.33551,1.69952,1.78894,0.69076,0.59817,0.67038,0.43261,1.14356,1.14839,1.7534,0.0009505,0.0009505,0.0009505
7,1489.82,1.29933,1.61743,1.75615,0.63871,0.68042,0.70536,0.46321,1.08493,1.05281,1.69634,0.0009406,0.0009406,0.0009406
8,1703.55,1.267,1.5439,1.72548,0.71379,0.66408,0.73885,0.49745,1.01689,0.97556,1.63341,0.0009307,0.0009307,0.0009307
9,1917.33,1.24075,1.48937,1.70142,0.70544,0.70687,0.75432,0.51537,0.97936,0.92626,1.58979,0.0009208,0.0009208,0.0009208
10,2129.19,1.21488,1.44421,1.6754,0.73702,0.71379,0.77858,0.54201,0.93303,0.8791,1.53685,0.0009109,0.0009109,0.0009109
11,2338.1,1.19331,1.39238,1.65129,0.74242,0.73065,0.78732,0.55299,0.91518,0.84119,1.5139,0.000901,0.000901,0.000901
12,2544.38,1.17213,1.35292,1.63465,0.73292,0.74496,0.79323,0.56476,0.88225,0.80981,1.48123,0.0008911,0.0008911,0.0008911
13,2752.31,1.15534,1.31642,1.62138,0.74664,0.75329,0.80704,0.58206,0.85004,0.77965,1.44699,0.0008812,0.0008812,0.0008812
14,2961.41,1.14419,1.30019,1.6104,0.75483,0.76088,0.81606,0.59227,0.83454,0.75031,1.43076,0.0008713,0.0008713,0.0008713
15,3175.98,1.13301,1.27008,1.59572,0.77757,0.7676,0.82538,0.60557,0.81194,0.7221,1.40236,0.0008614,0.0008614,0.0008614
16,3395.31,1.1227,1.24351,1.58728,0.78372,0.77336,0.83077,0.61392,0.79566,0.70095,1.38483,0.0008515,0.0008515,0.0008515
17,3604.01,1.10289,1.21585,1.56611,0.78542,0.77653,0.83531,0.6219,0.77886,0.68113,1.36869,0.0008416,0.0008416,0.0008416
18,3811.7,1.09212,1.19618,1.55872,0.79235,0.78623,0.84332,0.62971,0.76205,0.66021,1.35051,0.0008317,0.0008317,0.0008317
19,4020.37,1.08332,1.1797,1.54675,0.79439,0.79327,0.84712,0.63712,0.74916,0.64538,1.33621,0.0008218,0.0008218,0.0008218
20,4229.76,1.07246,1.16131,1.53914,0.80353,0.79352,0.85212,0.64358,0.73758,0.63172,1.32349,0.0008119,0.0008119,0.0008119
21,4437.32,1.06068,1.13583,1.52882,0.80795,0.80005,0.85595,0.64935,0.72595,0.61746,1.31008,0.000802,0.000802,0.000802
22,4649.02,1.04849,1.11523,1.51719,0.81111,0.80176,0.85928,0.65468,0.71574,0.60613,1.29821,0.0007921,0.0007921,0.0007921
23,4867.67,1.04318,1.10737,1.50926,0.82031,0.80137,0.86189,0.6586,0.70672,0.59459,1.28759,0.0007822,0.0007822,0.0007822
24,5080.51,1.03605,1.09005,1.50343,0.82237,0.80411,0.86479,0.66308,0.69925,0.58575,1.27916,0.0007723,0.0007723,0.0007723
