epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.341,2.20221,3.31915,2.62493,0.47278,0.26938,0.22433,0.10113,1.97831,2.67414,2.63324,0.067013,0.000333202,0.000333202
2,429.319,1.76062,2.57342,2.16134,0.47204,0.32422,0.35134,0.17707,1.77184,2.29005,2.36374,0.0340064,0.000659937,0.000659937
3,635.833,1.5813,2.2003,1.99018,0.78722,0.42358,0.51445,0.29981,1.41413,1.68675,2.04433,0.000993159,0.000980072,0.000980072
4,840.457,1.46242,1.95634,1.88658,0.56624,0.52189,0.5695,0.3401,1.34032,1.45192,1.94903,0.0009703,0.0009703,0.0009703
5,1044.91,1.39103,1.79612,1.82152,0.64153,0.58627,0.63035,0.40055,1.21062,1.23862,1.82127,0.0009604,0.0009604,0.0009604
6,1249.2,1.33496,1.67567,1.77172,0.66875,0.61937,0.66857,0.43669,1.12164,1.08755,1.7298,0.0009505,0.0009505,0.0009505
7,1453.94,1.29418,1.59929,1.73578,0.68464,0.64362,0.70292,0.46953,1.06522,1.02385,1.66724,0.0009406,0.0009406,0.0009406
8,1660.14,1.2632,1.52637,1.70841,0.75998,0.6502,0.73684,0.49503,1.02628,0.97923,1.63333,0.0009307,0.0009307,0.0009307
9,1867.45,1.23437,1.47321,1.68287,0.67529,0.71941,0.75564,0.52092,0.97077,0.90796,1.57079,0.0009208,0.0009208,0.0009208
10,2071.92,1.2082,1.42922,1.65841,0.70518,0.72126,0.77822,0.53924,0.94838,0.881,1.53923,0.0009109,0.0009109,0.0009109
11,2277.71,1.18414,1.37577,1.63232,0.70184,0.73574,0.78158,0.55024,0.91294,0.85173,1.50796,0.000901,0.000901,0.000901
12,2479.82,1.16512,1.33908,1.61983,0.72853,0.74269,0.79747,0.56755,0.88698,0.82037,1.47818,0.0008911,0.0008911,0.0008911
